,SP500,Temp,INDPRO
1959-04-30,4.053348941518581,0.15,23.1981
1959-05-31,4.072098953274781,0.09,23.5476
1959-06-30,4.068513802187579,0.1,23.5744
1959-07-31,4.10280864063423,0.09,23.0099
1959-08-31,4.087655574071304,0.05,22.2304
1959-09-30,4.040943785494986,0.02,22.2035
1959-10-31,4.052132713412791,0.0,22.0422
1959-11-30,4.065258981327004,-0.04,22.1766
1959-12-31,4.092509546276371,0.03,23.5475
1960-01-31,4.018363041199472,0.05,24.1658
1960-02-29,4.02749225523426,0.16,23.9508
1960-03-31,4.01349597435878,-0.24,23.7357
1960-04-30,3.995812531157829,-0.11,23.5476
1960-05-31,4.022311359322269,-0.06,23.5207
1960-06-30,4.041646773221651,-0.01,23.225
1960-07-31,4.01656318470207,0.01,23.1443
1960-08-31,4.04234926710372,0.05,23.1175
1960-09-30,3.9800554158199732,0.08,22.8755
1960-10-31,3.9776234625120948,0.05,22.8487
1960-11-30,4.017103481878653,-0.12,22.5261
1960-12-31,4.062337766087015,0.24,22.096
1961-01-31,4.123579687490436,0.11,22.1229
1961-02-28,4.150094577326593,0.17,22.096
1961-03-31,4.175309921045206,0.11,22.2304
1961-04-30,4.179145163914566,0.15,22.6874
1961-05-31,4.198103796512953,0.14,23.0368
1961-06-30,4.16883341421284,0.13,23.3594
1961-07-31,4.2011040987936346,0.07,23.6282
1961-08-31,4.22053658745986,0.06,23.8432
1961-09-30,4.200654626915515,0.07,23.8164
1961-10-31,4.228584037430304,-0.01,24.2733
1961-11-30,4.267176792994939,0.03,24.6497
1961-12-31,4.27039650600246,-0.11,24.8647
1962-01-31,4.231784971343338,0.06,24.6496
1962-02-28,4.247923650150401,0.16,25.0529
1962-03-31,4.242045918369452,0.17,25.1873
1962-04-30,4.178072777752813,0.05,25.241
1962-05-31,4.0881588031350145,-0.04,25.2141
1962-06-30,4.00277736869661,0.03,25.1604
1962-07-31,4.064400685849028,0.03,25.4023
1962-08-31,4.079569276639947,0.0,25.4292
1962-09-30,4.030161533445187,0.03,25.5905
1962-10-31,4.034594557816327,0.03,25.6174
1962-11-30,4.131319165013462,0.11,25.7249
1962-12-31,4.144720769547168,0.03,25.7249
1963-01-31,4.192680462942962,0.02,25.913
1963-02-28,4.163404098153595,0.21,26.2088
1963-03-31,4.198254025612612,-0.11,26.37
1963-04-30,4.2456340097683265,-0.03,26.612
1963-05-31,4.259859000699674,-0.04,26.9345
1963-06-30,4.23945449739721,0.03,27.0152
1963-07-31,4.235988789957173,0.08,26.9076
1963-08-31,4.283586561860629,0.2,26.9614
1963-09-30,4.272490747605575,0.17,27.2302
1963-10-31,4.304200219209375,0.13,27.4184
1963-11-30,4.2936051730729785,0.11,27.5528
1963-12-31,4.317754744653741,0.05,27.499
1964-01-31,4.34432476748987,-0.05,27.7409
1964-02-29,4.354141431184346,-0.11,27.9291
1964-03-31,4.369194655858504,-0.22,27.9291
1964-04-30,4.375253750386452,-0.27,28.3861
1964-05-31,4.386640972224627,-0.2,28.5474
1964-06-30,4.4029315953537775,-0.03,28.628
1964-07-31,4.421006934314765,-0.03,28.8162
1964-08-31,4.4046439245392905,-0.12,29.0043
1964-09-30,4.432957363342425,-0.24,29.1119
1964-10-31,4.441002839774179,-0.28,28.7087
1964-11-30,4.435804340354353,-0.24,29.5957
1964-12-31,4.43970574626056,-0.24,29.9452
1965-01-31,4.472324272654662,-0.07,30.2677
1965-02-28,4.470838473192799,-0.16,30.4559
1965-03-31,4.456206032848133,-0.12,30.8591
