"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRUSTGOV","TOT","PC","A","2006",53.206332837474,
"AUS","TRUSTGOV","TOT","PC","A","2007",52.6932810746771,
"AUS","TRUSTGOV","TOT","PC","A","2008",64.4675424053232,
"AUS","TRUSTGOV","TOT","PC","A","2010",60.9752918764891,
"AUS","TRUSTGOV","TOT","PC","A","2011",53.0786719332192,
"AUS","TRUSTGOV","TOT","PC","A","2012",42.0419178918908,
"AUS","TRUSTGOV","TOT","PC","A","2013",45.5871468172797,
"AUS","TRUSTGOV","TOT","PC","A","2014",46.4676233517878,
"AUS","TRUSTGOV","TOT","PC","A","2015",47.855683708198,
"AUS","TRUSTGOV","TOT","PC","A","2016",45.2731750058896,
"AUS","TRUSTGOV","TOT","PC","A","2017",45.3406962891371,
"AUS","TRUSTGOV","TOT","PC","A","2018",46.8836874513729,
"AUS","TRUSTGOV","TOT","PC","A","2019",46.8700014928596,
"AUS","TRUSTGOV","TOT","PC","A","2020",44.6422249484244,
"AUS","TRUSTGOV","TOT","PC","A","2021",51.9226387269998,
"AUS","TRUSTGOV","TOT","PC","A","2022",49.9118816780199,
"AUT","TRUSTGOV","TOT","PC","A","2006",49.7037785972272,
"AUT","TRUSTGOV","TOT","PC","A","2008",25.724219330429,
"AUT","TRUSTGOV","TOT","PC","A","2009",48.1052139950794,
"AUT","TRUSTGOV","TOT","PC","A","2010",49.1841077639318,
"AUT","TRUSTGOV","TOT","PC","A","2011",40.6920116166579,
"AUT","TRUSTGOV","TOT","PC","A","2012",37.6573862243166,
"AUT","TRUSTGOV","TOT","PC","A","2013",41.7099238673145,
"AUT","TRUSTGOV","TOT","PC","A","2014",40.7695403712258,
"AUT","TRUSTGOV","TOT","PC","A","2015",45.4789863460126,
"AUT","TRUSTGOV","TOT","PC","A","2016",43.2638218460391,
"AUT","TRUSTGOV","TOT","PC","A","2017",43.5907940906151,
"AUT","TRUSTGOV","TOT","PC","A","2018",48.8678724760577,
"AUT","TRUSTGOV","TOT","PC","A","2019",51.2338260131346,
"AUT","TRUSTGOV","TOT","PC","A","2020",62.6177826842198,
"AUT","TRUSTGOV","TOT","PC","A","2021",61.0458963307101,
"BEL","TRUSTGOV","TOT","PC","A","2006",55.170499554232,
"BEL","TRUSTGOV","TOT","PC","A","2007",60.2238274696858,
"BEL","TRUSTGOV","TOT","PC","A","2008",46.3137074638764,
"BEL","TRUSTGOV","TOT","PC","A","2010",33.6516478821503,
"BEL","TRUSTGOV","TOT","PC","A","2011",28.9129467541356,
"BEL","TRUSTGOV","TOT","PC","A","2012",44.0117182467805,
"BEL","TRUSTGOV","TOT","PC","A","2013",55.4124504898777,
"BEL","TRUSTGOV","TOT","PC","A","2014",46.911160946126,
"BEL","TRUSTGOV","TOT","PC","A","2015",45.9024212028926,
"BEL","TRUSTGOV","TOT","PC","A","2016",41.917750565944,
"BEL","TRUSTGOV","TOT","PC","A","2017",44.9731910860775,
"BEL","TRUSTGOV","TOT","PC","A","2018",44.1944530799293,
"BEL","TRUSTGOV","TOT","PC","A","2019",32.7901154348457,
"BEL","TRUSTGOV","TOT","PC","A","2020",29.4799600657363,
"BEL","TRUSTGOV","TOT","PC","A","2021",47.3133105255303,
"BEL","TRUSTGOV","TOT","PC","A","2022",57.2408419337754,
"CAN","TRUSTGOV","TOT","PC","A","2006",44.2817551871269,
"CAN","TRUSTGOV","TOT","PC","A","2007",63.7823809824318,
"CAN","TRUSTGOV","TOT","PC","A","2008",59.037096129753,
"CAN","TRUSTGOV","TOT","PC","A","2009",60.8264014758515,
"CAN","TRUSTGOV","TOT","PC","A","2010",55.1076448952314,
"CAN","TRUSTGOV","TOT","PC","A","2011",55.3290517483987,
"CAN","TRUSTGOV","TOT","PC","A","2012",52.3448147672759,
"CAN","TRUSTGOV","TOT","PC","A","2013",50.5975994689002,
"CAN","TRUSTGOV","TOT","PC","A","2014",51.6953607599081,
"CAN","TRUSTGOV","TOT","PC","A","2015",64.4104144291728,
"CAN","TRUSTGOV","TOT","PC","A","2016",61.8195286361391,
"CAN","TRUSTGOV","TOT","PC","A","2017",65.2735971510871,
"CAN","TRUSTGOV","TOT","PC","A","2018",61.0466915368588,
"CAN","TRUSTGOV","TOT","PC","A","2019",54.9280966328576,
"CAN","TRUSTGOV","TOT","PC","A","2020",60.0424110070179,
"CAN","TRUSTGOV","TOT","PC","A","2021",61.0411167292314,
"CAN","TRUSTGOV","TOT","PC","A","2022",50.6668033321548,
"CZE","TRUSTGOV","TOT","PC","A","2006",28.2911479786864,
"CZE","TRUSTGOV","TOT","PC","A","2007",26.8838416918378,
"CZE","TRUSTGOV","TOT","PC","A","2009",35.4553383877274,
"CZE","TRUSTGOV","TOT","PC","A","2010",31.2066329181842,
